eta1,delta_star_type_I
1e-08,3.8752002285226294e-07
3e-08,1.162874283518062e-06
1e-07,3.911075034896209e-06
3e-07,1.1615355764390784e-05
1e-06,3.9065725844509104e-05
3e-06,0.00011722885340782921
1e-05,0.00039020753172505846
