eta0,delta_star_type_II_eta0
1e-12,9.342976201724962e-06
3e-12,1.6184696219530323e-05
1e-11,2.9528073795273815e-05
3e-11,5.1151035174010926e-05
1e-10,9.332220517677856e-05
3e-10,0.00016166064310898948
1e-09,0.0002949408091919189
