delta,A_alpha,B_alpha,C_alpha
9.167779324426052e-05,415.76102096982794,3037892.5619713883,276.50734731321865
0.0001,398.0,2666665.9999999995,264.6666666666667
0.00010907766915109541,380.9940850598311,2340802.836259333,253.3293900398874
0.00011897937907435857,364.71117297704245,2054759.7230748134,242.4741153180283
0.0001297799334647565,349.12052543889956,1803670.7025760012,232.08035029259972
0.00014156092644919914,334.1927109654959,1583264.4305522928,222.12847397699727
0.000154411358999483,319.89954935003584,1389791.515444813,212.59969956669056
0.0001684283113011666,306.21405846122195,1219960.7364179748,203.47603897414797
0.00018371767615786355,293.1104033073325,1070883.0554989756,194.740268871555
0.00020039495897155574,280.5638472658236,940022.4713602435,186.37589817721573
0.00021858615034246696,268.5507053863999,825152.878705164,178.3671369242666
0.00023842867788067263,257.04829967939014,724320.1993801519,170.69886645292675
0.0002600724444200111,246.03491630503237,635809.1410151283,163.35661087002157
0.0002836809604776268,235.4897645828439,558114.017714426,156.32650972189592
0.00030943257951443557,225.39293774370242,489913.13642097096,149.59529182913494
0.00033752184532845694,215.7253753505409,430046.31323308474,143.15025023369392
0.0003681609617600463,206.46882731672176,377495.1371978652,136.97921821114784
0.00040158139581211505,197.60581945415925,331365.64584306814,131.07054630277284
0.0004380356262962898,189.11962048615888,290873.11773625534,125.41308032410592
0.00047779905121539667,180.99421046269623,255328.72337322074,119.99614030846415
0.0005211720682918034,173.21425051851628,224127.807310331,114.80950034567752
0.0005684823443592556,165.76505391695775,196739.60220488833,109.84336927797183
0.0006200872907625797,158.63255832484617,172698.19978626043,105.08837221656411
0.0006763767634659991,151.80329926611088,151594.6251624683,100.53553284407393
0.0007377760082683312,145.26438470401868,133069.87963610602,96.17625646934579
0.0008047488733750887,139.00347070403654,116808.83367901086,92.00231380269103
0.0008778013135972489,133.00873813138278,102534.86617740715,88.00582542092185
0.0009574852126495768,127.26887033927818,90005.15875425527,84.17924689285212
0.00104440255242457,121.77303180577434,79006.56511922312,80.51535453718289
0.0011392099607392683,116.51084767883479,69351.98517866977,77.00723178588986
0.0012426236719115056,111.47238419105074,60877.1822246222,73.64825612736716
0.0013554249376408255,106.64812990702279,53437.989059081585,70.43208660468186
0.001478465929071304,102.02897776800455,46907.85552626619,67.35265184533637
0.001612676174624066,97.60620789991603,41175.69573319555,64.40413859994402
0.0017590695822349842,93.37147115226905,36143.99833708868,61.580980768179366
0.0019187520990478324,89.31677333693341,31727.167753162325,58.87784889128894
0.0020929300664290977,85.43446013698687,27850.068064655166,56.28964009132458
0.002282919333423333,81.7172026571639,24446.74486513619,53.811468438109266
0.002490155197497901,78.15798358862229,21459.303290002365,51.43865572574819
0.002716203247675567,74.75008396191338,18836.923151054925,49.166722641275584
0.00296277119197087,71.4870704631455,16534.99442033547,46.99138030876367
0.0032317217584819516,68.36278328939937,14514.35835670274,44.908522192932914
0.003525086767600913,65.37132452046664,12740.641365743912,42.91421634697776
0.003845082481652768,62.50704698496271,11183.67026113053,41.00469798997514
0.004194126347923944,59.76454359979326,9816.958980267911,39.17636239986217
0.004574855261567401,57.13863716285216,8617.258022618556,37.42575810856811
0.004990145486353981,54.62437057967966,7564.158946070049,35.74958038645311
0.005443134383763516,52.216997505633074,6639.747193327744,34.144665003755385
0.005937244114571097,49.911973385902655,5828.297342465793,32.60798225726844
0.006476207491984746,47.70494687646023,5116.005597460898,31.136631250973487
0.007064096181645591,45.59175162974343,4490.754968031109,29.72783441982895
0.007705351461530541,43.56839842957078,3941.909144190148,28.37893228638052
0.008404817774137397,41.63106766043821,3460.131559060177,27.08737844029214
0.009167779324426051,39.7761020969828,3037.2265619713885,25.850734731321865
0.01,38.0,2666.0,24.666666666666668
