alpha,expected_bias,measured_bias_I,measured_bias_II,expected_A_C,measured_A,measured_C,expected_B,measured_B,expected_optI,measured_optI,expected_optII,measured_optII
1.25,0.75,0.7500010662557859,0.7500008191543128,-0.25,-0.25215005079479924,-0.2525129792773668,-1.25,-1.2500000005496235,1.0,1.0003359920420023,0.5,0.5001586558411343
1.5,0.5,0.5000007819212511,0.5000006205715917,-0.5,-0.5000407732466127,-0.5000611650222839,-1.5,-1.5000000000099893,1.0,0.9993740754530653,0.5,0.4996885944231776
1.75,0.25,0.2500004344009568,0.2500003608864469,-0.75,-0.7500005266703393,-0.7500013166805317,-1.75,-1.7500000000001374,1.0,1.0003359920420023,0.5,0.5001586558411344
