alpha,delta,bias_I,bias_II
1.75,3.5111917342151277e-07,0.003979008873441344,0.0038684808300085602
1.75,5.722367659350221e-07,0.004495781736098295,0.004370898874805387
1.75,9.326033468832199e-07,0.005079670414430747,0.004938568393502581
1.75,1.519911082952933e-06,0.005739391616822114,0.005579963952284103
1.75,2.477076355991714e-06,0.0064847941813206,0.006304660789351061
1.75,4.037017258596549e-06,0.007327006152218606,0.007123477797961765
1.75,6.579332246575683e-06,0.008278600993104419,0.00804863910757774
1.75,1.072267222010323e-05,0.00935378545112882,0.009093956702284066
1.75,1.747528400007683e-05,0.010568611938568154,0.010275036852424266
1.75,2.8480358684358048e-05,0.011941218715550423,0.011609513532674727
1.75,4.641588833612782e-05,0.013492101668191852,0.013117312479759077
1.75,7.56463327554629e-05,0.015244422123663528,0.014820950142065808
1.75,0.0001232846739442066,0.017224356005097422,0.01674587255565425
1.75,0.0002009233002565046,0.019461490842105307,0.018920840258302426
1.75,0.00032745491628777317,0.021989278964629048,0.021378366926438002
1.75,0.0005336699231206312,0.024845558069277008,0.024155221855762708
1.75,0.0008697490026177834,0.02807315508278885,0.027293010368608
1.75,0.0014174741629268048,0.03172059737399788,0.03083885295056039
1.75,0.0023101297000831626,0.035842969688974144,0.03484619564840948
1.75,0.0037649358067924714,0.040502980921648224,0.03937580520441669
1.75,0.006135907273413176,0.04577235176793542,0.04449704038924171
1.75,0.01,0.05173372101465427,0.050289560830070634
