alpha,delta,A_alpha,B_alpha,C_alpha
1.25,4.790328503657331e-09,637.0728783653432,53530598401.86866,545.4910385988657
1.25,5.210686889507574e-09,623.7330339375538,48188121622.97897,534.056886232189
1.25,5.667932343211246e-09,610.6707733155423,43378836308.12404,522.8606628418934
1.25,6.16530175933409e-09,597.8803203622894,39049528723.4711,511.89741745339086
1.25,6.706316074710306e-09,585.3560191342387,35152295988.1538,501.1623021150618
1.25,7.294805193570234e-09,573.0923313802359,31644016038.93715,490.65056975448795
1.25,7.93493509988459e-09,561.0838340925135,28485870493.628227,480.35757207929726
1.25,8.631237348857143e-09,549.3252171086314,25642915133.81378,470.27875752168404
1.25,9.388641146339095e-09,537.8112807633228,23083693254.409393,460.4096692257053
1.25,1.0212508243259302e-08,526.5369335892016,20779887601.812374,450.7459430764585
1.25,1.110867089209251e-08,515.49719006531,18706007049.426098,441.28330577026566
1.25,1.2083473134063268e-08,504.6871684125211,16839104543.688416,432.0175729250181
1.25,1.3143815709363002e-08,494.1020884348143,15158523199.734257,422.9446472298408
1.25,1.4297204908304728e-08,483.73726940547,13645667737.29505,414.06051663325997
1.25,1.5551805709238663e-08,473.58812799725115,12283798727.820599,405.3612525690724
1.25,1.6916499579398304e-08,463.65017625565247,11057847376.211224,396.8430082191307
1.25,1.840094734785578e-08,453.91901961432654,9954248787.75896,388.5020168122799
1.25,2.001565759567169e-08,444.3903549518045,8960791875.43128,380.3345899586896
1.25,2.177206104738152e-08,435.059968688654,8066484246.7528305,372.3371160188463
1.25,2.368259149044462e-08,425.9237349242319,7261430575.287016,364.50605850648446
1.25,2.5760773795493982e-08,416.9776136122098,6536723110.923395,356.83795452475124
1.25,2.802131966049255e-08,408.2176487740644,5884343117.490076,349.32941323491235
1.25,3.048023175658059e-08,399.63996674974175,5297072147.118916,341.9771143569215
1.25,3.315491701287467e-08,391.2407744847228,4768412169.633042,334.77780670119097
1.25,3.606430984217448e-08,383.0163578527333,4292513673.2051725,327.7283067309142
1.25,3.922900617990696e-08,374.9630800133562,3864110940.735506,320.8254971543053
1.25,4.2671409285185624e-08,367.0773798038192,3478463785.79584,314.06632554613077
1.25,4.641588833612773e-08,359.35577016424617,3131305103.46042,307.4478029979253
1.25,5.0488950942143935e-08,351.7948365956786,2818793655.6844797,300.96700279629596
1.25,5.49194307944356e-08,344.391235650183,2537471568.810527,294.62105912872823
1.25,5.973869178310005e-08,337.14169345237656,2284226072.921185,288.4071658163228
1.25,6.498085002581279e-08,330.0430042517177,2056255059.6925824,282.3225750729009
1.25,7.068301537985341e-08,323.09202900492227,1851036077.6531696,276.3645962899334
1.25,7.688555414716741e-08,316.28569398787744,1666298421.786981,270.5305948467521
1.25,8.363237483218501e-08,309.62098943643963,1499998008.6586337,264.8179909455197
1.25,9.097123897530988e-08,303.09496821551494,1350294759.0586066,259.2242584704414
1.25,9.895409926250376e-08,296.7047445158354,1215532237.9125407,253.74692387071605
1.25,1.0763746730448541e-07,290.447492577853,1094219326.1743832,248.38356506673114
1.25,1.1708281368909704e-07,284.32044544218746,985013721.9067216,243.13181037901782
1.25,1.2735700313885552e-07,278.3208937260753,886707087.9912302,237.98933747949314
1.25,1.3853276785421932e-07,272.4461844252802,798211682.1317661,232.9538723645259
1.25,1.5068922239342416e-07,266.6937197409332,718548321.2138929,228.0231883493713
1.25,1.6391242373378453e-07,261.06095593078527,646835546.8489796,223.19510508353022
1.25,1.7829598047919966e-07,255.54540218436279,582279872.2219088,218.46748758659666
1.25,1.939417155265149e-07,250.14461952153047,524167002.32581264,213.838245304169
1.25,2.1096038688183258e-07,244.8562197139739,471853930.4375613,209.3053311834062
1.25,2.294724717295179e-07,239.6778642291232,424761823.38316286,204.8667407678199
1.25,2.4960901930441587e-07,234.60726319605317,382369616.87003255,200.52051131090272
1.25,2.715125786048606e-07,229.6421743929014,344208250.01982963,196.2647209082012
1.25,2.9533820751386784e-07,224.78040225535733,309855475.3081696,192.09748764744913
1.25,3.2125457047220123e-07,220.01979690578221,278931186.48428124,188.01696877638477
1.25,3.4944513247386884e-07,215.35825320253255,251093212.77502203,184.02135988788504
1.25,3.8010945783648106e-07,210.7937098090654,226033532.8370055,180.10889412205606
1.25,4.1346462294062107e-07,206.32414828241505,203474866.56500822,176.27784138492717
1.25,4.4974675293918027e-07,201.94759218063624,183167607.04573068,172.5265075834025
1.25,4.892126933152029e-07,197.66210618882076,164887058.70962608,168.85323387613207
1.25,5.321418281213915e-07,193.4657952633004,148430951.12152776,165.25639593997178
1.25,5.788380577728086e-07,189.35680379365814,133617200.90068695,161.73440325170696
1.25,6.296319503938047e-07,185.3333147821763,120281897.00633422,158.28569838472254
1.25,6.848830819488135e-07,181.3935490403591,108277487.09637351,154.9087563203078
1.25,7.449825817230663e-07,177.53576440217512,97471144.89164934,151.60208377329295
1.25,8.103559011729893e-07,173.75825495367087,87743300.48101293,148.36421853171788
1.25,8.814658257473113e-07,170.0593502786147,78986317.3053202,145.19372881024114
1.25,9.588157509999107e-07,166.4374147198379,71103301.1814685,142.0892126170039
1.25,1.0429532461863896e-06,162.89084665594672,64007028.18857312,139.0492971336686
1.25,1.1344739305714942e-06,159.4180777930848,57618979.55356792,136.07263810835838
1.25,1.2340256898882342e-06,156.01757247143271,51868472.85744081,133.15791926122805
1.25,1.342313262797505e-06,152.68782698613873,46691879.9490844,130.30385170240464
1.25,1.4601032298162907e-06,149.42736892237966,42031922.913142875,127.50917336203969
1.25,1.588229440031669e-06,146.23475650425885,37837040.30188593,124.77264843222187
1.25,1.7275989140169765e-06,143.10857795725204,34060816.61859823,122.09306682050176
1.25,1.8791982647375713e-06,140.04745088391996,30661468.739838272,119.46924361478854
1.25,2.044100681900524e-06,137.05002165261175,27601383.59393681,116.9000185593815
1.25,2.223473529191285e-06,134.11496479888862,24846701.980243735,114.38425554190452
1.25,2.418586608179083e-06,131.2409824394028,22366943.924170732,111.9208420909167
1.25,2.6308211473921996e-06,128.4268036979729,20134671.422661874,109.50868888397677
1.25,2.8616795801978352e-06,125.67118414360195,18125184.848441806,107.14672926594451
1.25,3.112796180705332e-06,122.97290524018977,16316249.65381787,104.83391877730551
1.25,3.385948632985606e-06,120.3307738076956,14687850.350070786,102.56923469231052
1.25,3.6830706155066364e-06,117.7436214945133,13221969.040267803,100.35167556672569
1.25,4.006265489871691e-06,115.21030426082588,11902386.055010334,98.18026079499361
1.25,4.357821190764496e-06,112.72970187271078,10714500.485192271,96.05403017660923
1.25,4.740226422509076e-06,110.3007174067718,9645168.626001436,93.97204349151868
1.25,5.156188276901584e-06,107.9222767650791,8682558.544581152,91.93338008435352
1.25,5.6086513970328115e-06,105.59332820020263,7816019.162173556,89.93713845731655
1.25,6.100818822764358e-06,103.31284185012929,7035962.402165999,87.98243587153938
1.25,6.636174665426095e-06,101.07980928285714,6333757.100033224,86.0684079567347
1.25,7.218508772251754e-06,98.89324305046658,5701633.501311231,84.19420832897136
1.25,7.85194355515505e-06,96.75217625247022,5132597.2908929605,82.35900821640304
1.25,8.540963173770412e-06,94.65566210824954,4620352.202397876,80.56199609278532
1.25,9.29044527934864e-06,92.60277353838775,4159230.351304328,78.80237731861807
1.25,1.0105695544226167e-05,90.59260275471492,3744129.520995466,77.07937378975565
1.25,1.0992485221306085e-05,88.6242608588837,3370456.7078019874,75.3922235933289
1.25,1.1957091999438964e-05,86.69687744929831,3034077.300379386,73.74018067082713
