tau,K_rel_fp64,H_rel_fp64,K_rel_fp32,H_rel_fp32,K_rel_fp16,H_rel_fp16,K_rel_fp8-e5m2,H_rel_fp8-e5m2,K_rel_fp8-e4m3,H_rel_fp8-e4m3
2.3507983912818275e-06,9.926452916887233e-14,5.635336089858701e-08,0.0037609112326194337,2133.112778905394,1.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2.1157052891018768e-05,2.196974167663726e-12,1.3845455996433695e-07,0.0025598731676919357,161.32605291975966,1.0,1000000.0,1.0,1000000.0,1000000.0,1000000.0
5.876885453681702e-05,1.7552161684253745e-12,3.981822241775358e-08,0.0008078704863378972,18.32974476838282,1.0,1000000.0,1.0,1000000.0,1000000.0,1000000.0
0.0001151847886471935,1.638099273347384e-13,1.8956031135799177e-09,0.0005376337809431384,6.2243762458170515,1.0,5799.971665923237,1.0,1000000.0,1000000.0,1000000.0
0.0001904027332669811,1.7972057061362738e-13,1.2576776305792255e-09,5.843256294505336e-05,0.4092059637314161,1.0,9581.939048767817,1.0,1000000.0,1000000.0,1000000.0
0.000284419859246543,3.606594486705965e-15,1.6715639800300006e-11,4.345231691812356e-05,0.20375200104558164,1.0,4773.320116211457,1.0,1000000.0,1000000.0,1000000.0
0.0003972326303482987,7.647820456979883e-14,2.5655128285405014e-10,0.0001017181341976643,0.3414124219915796,0.8354575216749641,2783.816564808975,1.0,1000000.0,1000000.0,1000000.0
0.0005288368033801172,5.806796111547157e-14,1.4684456473913383e-10,7.77872125589351e-05,0.19615745096006026,0.3780978508626825,916.3832160347405,1.0,1000000.0,1000000.0,1000000.0
0.000679227428354412,6.514813550150538e-14,1.2802452255208898e-10,5.724840672737129e-06,0.011303067131417694,0.07392018513921556,147.68554750643867,1.0,1000000.0,1000000.0,1000000.0
0.0008483988486743255,9.808274099725396e-14,1.5402642601994307e-10,5.409704093964772e-05,0.08513674483141406,0.1405354852263697,222.60951965183622,1.0,1000000.0,1000000.0,1000000.0
0.0010363447013471139,2.8587896067505156e-15,3.698118864163728e-12,1.9704378774818253e-05,0.02537441255440645,0.055046218955760756,69.7949969579496,1.0,1000000.0,1.0,1000000.0
0.001243057917222401,3.951974453226069e-14,4.250700138759072e-11,4.9801581222415364e-05,0.05343759257157061,0.12002020112790207,129.48855860523608,1.0,1000000.0,1.0,1000000.0
0.0014685307212594645,1.6525902395020495e-14,1.504856917714724e-11,3.1755754046650915e-05,0.028916327328095803,0.2556958030100519,233.59684419087932,1.0,1000000.0,1.0,1000000.0
0.0017127546328182253,7.081231908570681e-15,5.4893113326279665e-12,4.3430209581976485e-05,0.03386018047411551,0.06325299764851923,49.340850379546865,1.0,1000000.0,1.0,1000000.0
0.0019757204659796024,2.2978411228559402e-14,1.5470870208144046e-11,1.1526421434697391e-05,0.007799266990582787,0.07844094761478114,53.153116846561005,1.0,359.18103052232374,1.0,1000000.0
0.0022574183298896267,1.539849054761792e-14,9.140685648347261e-12,2.8556443964701625e-06,0.001675600627830466,0.19387453402639432,114.17485210615067,1.0,502.38278114764404,1.0,1000000.0
0.002557837629132531,8.194123201249157e-15,4.2854112523382315e-12,1.720766064414512e-05,0.009022601970733202,0.004036997557245613,2.15942204524821,1.0,502.30742893657555,1.0,1000000.0
0.00287696706412921,1.5763703481609427e-14,7.357383740935646e-12,3.658619322090094e-06,0.0017016153030122987,0.11454763162851443,53.09464363056317,1.0,502.22738999178097,1.0,1000000.0
0.0032147946315613796,1.327786328255329e-14,5.481089423929093e-12,1.2888182586557704e-05,0.005357328578805167,0.01893985749184239,7.809148468828229,1.0,287.3672391136542,1.0,1000000.0
0.0035713076248239384,1.6872020756708318e-14,6.2843596847735e-12,1.7908875973219005e-05,0.006700303657459601,0.08336319264081124,31.057604008717192,1.0,287.3161535341991,1.0,1000000.0
0.003946492634502419,3.596697144535147e-15,1.2220983943842523e-12,1.2603026674445714e-05,0.004269158945191585,0.013471171981452895,4.599798482818404,1.0,358.82799665560344,1.0,1000000.0
0.004340335548877583,7.067280229546709e-15,2.2184334925034785e-12,4.040720773275034e-06,0.0012525621273416436,0.004992011395187148,1.4150375856530475,1.0,358.7574665763068,1.0,1000000.0
0.004752821554456166,3.346622392599439e-15,9.441256350648567e-13,6.071965267665287e-06,0.0017068666417555994,0.08254054154663718,23.145645095151153,1.0,251.3785237256206,1.0,1000000.0
0.005183935136527762,4.832445428968003e-15,1.25260717877261e-12,2.8600793654929706e-06,0.000740049687576134,0.01853259266895555,4.808735334196238,1.0,251.3244916952998,1.0,1000000.0
0.0056336600797489145,3.963744448913344e-15,9.358947474959808e-13,7.291849566887061e-07,0.0001783346497701275,0.03125507866706512,7.3489630825699646,1.0,251.2681333020868,1.0,1000000.0
0.006101979468752627,7.181760150738594e-15,1.573348252581013e-12,1.2987237845570578e-06,0.0002738479155299745,0.04807189439484945,10.555641369404237,1.0,251.20945145530436,1.0,1000000.0
0.0065888756887845235,1.4482045954156594e-14,2.955368382156793e-12,4.012256811074948e-06,0.0008238879667399288,0.008135720639330287,1.6979588425884067,1.0,179.6774637026321,1.0,1000000.0
0.007094330426365814,1.2373117601738474e-16,6.309106559823547e-14,4.5753825030003126e-06,0.000875972402348306,0.02250570248934313,4.263894242985254,1.0,179.63223545374981,1.0,1000000.0
0.00761832466998158,1.1502469743619507e-14,2.0219778815012594e-12,1.323432820661559e-06,0.0002321610833281836,0.0007431704168348601,0.08767125498538937,1.0,179.58535434073335,1.0,1000000.0
0.008160838710796425,4.079857873454019e-15,6.49528043743305e-13,1.3315306332374593e-06,0.00022887891889486193,0.021142848502412857,3.4285500963507003,1.0,179.53682278201248,1.0,1000000.0
0.008721852143395048,5.313937357575158e-15,8.164191215482282e-13,3.779427400848701e-06,0.0005808871398299169,0.043965351386244626,6.77379888542355,1.0,179.48664328071592,1.0,1000000.0
0.009301343866550793,5.6822014787860894e-15,8.052864340861909e-13,4.104902882981313e-06,0.0005934878334843311,0.025910404439714974,3.7989348349051144,1.0,125.90437289711977,1.0,1000000.0
0.00989929208401813,1.0741942370564199e-14,1.4545026670945162e-12,8.603196764023866e-07,0.0001148018198361007,0.01277245957944471,1.7708373805340485,1.0,125.86694561961717,1.0,1000000.0
0.010515674305353107,4.6897088484677825e-15,5.940694427040795e-13,1.4795897718253119e-06,0.00019311256247216203,0.002374343666820651,0.31701832430807975,1.0,125.82837039323498,1.0,1000000.0
0.011150467346759674,1.0608486072128886e-14,1.2861017665471796e-12,4.1114135600059066e-06,0.000499834903152935,0.026721307060772626,3.250130149256628,1.0,125.78864920596912,1.0,1000000.0
0.011803647331960654,3.698817035856442e-15,4.208109151885056e-13,3.3336211582891788e-06,0.0003833364953769578,0.019607819918436024,2.1932226489480335,1.0,125.74778410442306,1.0,1000000.0
0.0124751896930968,4.559570334445829e-15,4.910073806006046e-13,2.1373151689258064e-06,0.0002316177228349199,0.015225168551264085,1.582274899616404,1.0,125.70577719366223,1.0,1000000.0
0.013165069171650001,8.129066990464006e-15,8.288134699215811e-13,5.25721579222245e-07,5.1212917337812445e-05,0.01248601777029858,1.2614167364346442,1.0,90.04473616933903,1.0,1000000.0
0.013873259819394246,1.2310205840838442e-16,1.0129500835153542e-14,1.2382361326983383e-06,0.00012185502260223332,0.01138793567230073,1.0783699973195,1.0,90.01310475443243,1.0,1000000.0
0.014599734999370784,3.321938658948329e-15,3.0229244365120186e-13,2.939936440467051e-06,0.00027817402223765514,0.011928356617893434,1.1413404383625136,1.0,89.98066252186074,1.0,1000000.0
0.015344467386890104,8.36167482673989e-15,7.265638951273581e-13,9.582625812326794e-07,8.275960154969386e-05,0.010772647629786256,0.9229231583379226,1.0,89.94741114118725,1.0,1000000.0
0.01610742897056061,2.5807989121151765e-15,2.1322148604292743e-13,3.490861972651872e-06,0.0002914778084125468,0.006408663747637979,0.5097469858586327,1.0,89.91335232317698,1.0,1000000.0
0.01688859105334084,3.0705727448447384e-15,2.463173278897583e-13,1.0653801496908361e-06,8.380563235548503e-05,0.0025756945385154227,0.1619733942243989,1.0,89.87848781966645,1.0,1000000.0
0.017687924253620035,7.364938889374136e-16,4.759155333357329e-14,2.2912954255695727e-07,2.1330479056100535e-05,0.002346611363292539,0.18065490631819403,1.0,63.18997359641228,1.0,1000000.0
0.018505398506322213,3.9255489980723255e-15,2.827207420020941e-13,8.580514853232031e-07,5.6477136610950344e-05,0.009435136563854257,0.6484929363657759,1.0,63.16444427768989,1.0,1000000.0
0.01934098306403792,9.807695104808745e-16,7.182084463990683e-14,1.640204543549177e-07,1.4881511664453074e-05,0.003420941016435167,0.206054494373596,1.0,63.1383548296132,1.0,1000000.0
0.020194646498180313,3.18545069363001e-15,2.081049303942393e-13,2.841952972825034e-06,0.00018913974397960192,0.0031516702917472046,0.2244701813564849,1.0,63.111706592589016,1.0,1000000.0
0.021066356700167044,1.2243684799386765e-16,5.5388284080070806e-15,4.1323217430726327e-07,2.9235678826045983e-05,0.0118837828047492,0.7630310905723658,1.0,63.084500935320406,1.0,1000000.0
0.021956080882628348,1.1011926141614529e-15,6.003865808540129e-14,3.278305921887713e-06,0.00020160901339078192,0.013283377596098638,0.8094110636487805,1.0,63.05673925471032,1.0,1000000.0
0.022863785580640117,4.890840017519832e-15,2.8800487116055917e-13,1.1320146778033607e-06,6.903736477870825e-05,0.012146734371294031,0.7414761249440749,1.0,63.02842297576139,1.0,36.444813129006505
0.023789436652982665,7.331139001081019e-16,3.269583263793094e-14,1.933951241928713e-06,0.00011043954147657086,0.009196206581644922,0.5396094492414351,1.0,62.99955355147532,1.0,36.428316315128754
0.024732999283424484,1.4651842701468272e-15,7.83836180708919e-14,1.5602509549551915e-06,8.752691840842922e-05,0.001724967760178005,0.06791923742463851,1.0,62.9701324627496,1.0,36.411504264428345
0.025694437982032636,1.5861316061950337e-15,7.539853461425274e-14,2.222082406099755e-07,1.4369823504235807e-05,0.011571382890399853,0.5911629634989506,1.0,45.242972298766134,1.0,36.39437783901291
0.02667371658650669,3.657598766242334e-15,1.8214379958658818e-13,1.3381000596327034e-06,6.737895563196838e-05,0.005393093305649468,0.2653128429718003,1.0,45.22117239601104,1.0,36.376937916808835
0.02767079826353913,2.8020486224349313e-15,1.3506717659608726e-13,1.5139649619457818e-06,7.499612675229406e-05,0.01893904142078913,0.9216994967660335,1.0,45.198981739373195,1.0,36.359185391498556
0.028685645510201474,1e-18,1.226141451304065e-16,8.95446690605637e-07,4.255728614195625e-05,0.004699658096376846,0.23586473539165537,1.0,45.17640146557205,1.0,45.17640146557205
0.029718220155353692,1.702959010766283e-15,7.781950024404237e-14,3.719949925141431e-07,1.5135875310873059e-05,0.007898677939178778,0.3560795501812995,1.0,45.153432730863294,1.0,45.153432730863294
0.03076848336108101,2.917042266312126e-15,1.2873233208092027e-13,7.280310005675989e-07,3.5844450995361774e-05,0.003591999343803545,0.17740933669887896,1.0,45.130076710954704,1.0,45.130076710954704
0.03183639562415391,1.9431257164830018e-15,7.969520550488639e-14,3.0367546270812135e-08,3.80764708088169e-06,0.003861854781431772,0.17246781882787307,1.0,45.1063346009243,1.0,45.1063346009243
0.03292191677751449,1.4561486905659632e-15,6.362340643181616e-14,8.184116573725465e-07,3.051115910589847e-05,0.0049272337671739455,0.2139826706511422,1.0,45.082207615133676,1.0,45.082207615133676
0.034025005991786816,4.849781399268441e-16,1.7242139036497673e-14,4.3726407558465565e-07,1.675126922832242e-05,0.0071087882277282785,0.2771784088046697,1.0,45.05769698714394,1.0,27.434618192286365
0.03514562177681291,1.5748433492596952e-15,6.477425846779658e-14,1.314647907114038e-06,5.189785757559886e-05,4.167514392366578e-05,0.014818528987462446,1.0,45.03280396962549,1.0,27.419682381775292
0.036283721983213335,7.262250850025854e-16,2.4306941007245783e-14,2.9586898869836304e-07,9.779057390091163e-06,0.007165743165915984,0.2688694515203583,1.0,31.805270883989596,1.0,27.40451790056251
0.03743926380397217,1.2093169589396783e-15,4.174938602641953e-14,5.192237445492487e-08,8.767509326818901e-07,0.004157765417374437,0.14894060504692694,1.0,31.78731311019205,1.0,31.78731311019205
0.038612203776047904,1.2082434807245562e-16,6.954112489490359e-15,8.883354817685213e-07,3.407421547228048e-05,0.008955593844067144,0.3201653616103043,1.0,31.76909037396899,1.0,31.76909037396899
0.039802497782007173,1.3278702534910988e-15,4.096803377215856e-14,1.6301664558557684e-06,5.437757235149674e-05,0.004008553243588718,0.13449577604324253,1.0,31.750603605065862,1.0,31.750603605065862
0.041010101051684844,9.64840731410685e-16,3.1072853438311463e-14,1.3469550452507159e-06,4.481781801457677e-05,0.00014547904248330453,0.009139240448067222,1.0,31.731853746284635,1.0,31.731853746284635
0.04223496816386768,4.819727866071484e-16,1.7049052033155762e-14,4.4442330484960393e-07,1.5192897799488576e-05,0.0036962898788277776,0.11723960479956369,1.0,31.712841753416193,1.0,31.712841753416193
0.04347705304800287,1.6853172059857267e-15,5.4157622929324454e-14,2.9643253219112646e-07,9.12317254351996e-06,0.0020132129913649622,0.05688358215867307,1.0,31.693568595171993,1.0,31.693568595171993
0.04473630898593073,2.886357840107441e-15,8.525917556256195e-14,7.653267314190905e-08,1.8837323363092986e-06,0.0007368235786807574,0.008310485004946012,1.0,31.67403525311598,1.0,31.67403525311598
0.04601268861364188,1e-18,2.309385269168874e-15,6.377487601213686e-09,1.7005854370068661e-06,0.0029389491225183606,0.07982649096018614,1.0,31.65424272159451,0.8938531051923634,23.085476424109974
0.047306143923059096,1.0802760840857459e-15,2.7087161155773284e-14,3.848117778876159e-07,1.2995954073655517e-05,0.0045946436009442725,0.14108946233907615,1.0,31.634192007664783,0.8919953771233758,23.06972229173662
0.048616626263842444,1.199113473814459e-16,8.739832894835253e-15,2.3426004333127075e-08,4.9204540201003e-07,0.005178051784177636,0.1285880136193223,1.0,31.613884131024797,0.8901144478460087,23.053766102948053
0.049944086345219796,1.6770677621683998e-15,4.464025104174175e-14,5.232760494366541e-07,1.288637164309014e-05,0.0052191724794851835,0.13956703028623296,1.0,31.59332012393902,0.7533382631088714,18.667134365389366
0.05128847423784011,5.983415243770278e-16,1.648625736022906e-14,6.884941005435271e-07,1.8760845911569433e-05,0.001596055892927409,0.05527218493256178,1.0,22.837500736547558,0.7515489330460399,18.6537506628928
0.05264973937565193,1.6736244904329696e-15,4.4215707234880946e-14,3.9896600942688935e-08,1.2856124624891252e-06,0.0015765579544196931,0.03887458235502268,1.0,22.822448507061125,0.7497383965917279,18.640203656355013
0.05402783055780519,1.3136141375604164e-15,3.09899172529315e-14,1.2886475741258018e-06,3.414500310680755e-05,0.0020964961994990056,0.047531525997685856,1.0,22.807215592585123,0.7479067687621407,18.626494033326612
0.05542269595057664,4.77171578365861e-16,1.6330788795630488e-14,8.966865125319171e-08,3.515970950907185e-06,0.002629516471909694,0.07640210933895261,1.0,22.791802765827477,0.7460541657977299,18.61262248924473
0.05683428308932015,7.149893826336412e-16,1.607733966785908e-14,1.4239963871370402e-07,3.566264439025091e-06,0.003699663313413856,0.08450598115899235,1.0,22.776210808204226,0.6100129586013638,12.065726484922534
0.05826253888043931,3.5710644809987774e-16,9.905166252778868e-15,7.972358933164995e-07,1.8231799689786693e-05,0.0062123388001539175,0.1475232300081541,1.0,22.760440509784253,0.6082644665942106,12.056264305870553
0.059707409603385164,1.1890465956232645e-15,2.558971060538527e-14,4.951989614016106e-07,1.1431960716167326e-05,0.0045835366559715774,0.1084594895839192,1.0,22.744492669232436,0.6064969414925272,12.046695601539463
0.06116884091267605,1.1877243596090546e-15,2.4243951217941923e-14,5.023107187196329e-07,1.1260594515354827e-05,0.0024216926813192038,0.04026684159791905,1.0,22.728368093753577,0.47098462042240485,12.037020856252145
0.06264677783994216,2.0168599441387207e-15,4.459468911723202e-14,5.950921325190536e-09,5.5664281995907e-07,0.00027134124763405825,0.009280899838976965,1.0,22.712067599034512,0.46932980326026225,12.027240559420708
0.06414116479599313,8.29526745855164e-16,1.6017818944678888e-14,2.1338025862659015e-08,2.906430043948195e-08,0.008705529382158288,0.18429658949837277,1.0,22.69559200918614,0.4676578492428193,12.017355205511683
0.06565194557290821,3.5510233873276025e-16,8.905330470791445e-15,9.41364901195474e-09,3.0702141343844505e-07,0.0009963602869511804,0.031963251841379714,1.0,22.67894215668512,0.46596886369564644,12.007365294011073
0.06717906334615109,2.009904985819973e-15,3.8720150863953726e-14,5.025511176620794e-07,1.0278988817234079e-05,0.0047587742019981885,0.10305289002916694,1.0,22.66211888231446,0.1980333250985351,4.957082692636477
0.06872246067670734,1.180906059059276e-16,1.0813911283987396e-15,7.911577095055067e-09,5.825773235345113e-07,0.0023801961865339803,0.044208083920039803,1.0,22.64512303510366,0.1966238196962561,4.9524088346535065
0.07028207951324411,1.6513022057022556e-15,3.121541038314427e-14,4.2672195692583e-07,9.346704749988205e-06,0.0014057131220175606,0.02684760899924423,1.0,22.62795547226856,0.195200642580193,4.947687754873854
0.07185786119429388,2.356167375763522e-16,5.518299066147994e-15,5.075684808879271e-07,1.0005250471237855e-05,0.005196764170832833,0.09199531350590852,1.0,16.12743194140534,0.1937638829950006,4.942919691266384
0.07344974645046148,1.176652485007478e-15,2.0976520615512127e-14,1.4218793648156897e-07,2.0594691459529728e-06,0.00083965374110281,0.021666127949730947,1.0,16.11517606840799,0.19231363093045548,4.938104884017425
0.07505767540665242,3.5256241692388843e-16,6.826759032908254e-15,6.109982516766034e-07,1.1315250229404272e-05,0.004006985288329278,0.07556441095286998,1.0,16.102801828580805,0.19084997711244905,2.775700457145201
0.0766815875843258,5.868752461749487e-16,1.2565207078540218e-14,1.004149326926512e-07,2.6519659018399992e-06,0.005598363416726092,0.09472113827040024,1.0,16.090309844465825,0.18937301299391013,2.772577461116456
0.0783214219037684,2.344559767556879e-16,2.7500788718867613e-15,4.2487726193128016e-07,7.516106935073401e-06,0.0012449901510764247,0.019658961455273273,1.0,16.07770074411841,0.1878828307456643,2.769425186029602
0.0799771166863924,7.024777934148723e-16,1.2663579447550438e-14,1.3065741713097086e-07,1.867117459041983e-06,0.0046121744163785915,0.07817135290527549,1.0,16.064975161062407,0.18637952324722515,2.7662437902656016
0.08164860965705534,1e-18,1.1936589601068648e-16,8.086552345651117e-07,1.379146202537626e-05,0.0007859519693448756,0.011993732985158125,1.0,16.052133734245242,0.18486318407752414,2.7630334335613105
0.08333583794640231,1e-18,9.541051826690794e-16,8.787191955405948e-08,2.1689845505340585e-06,0.002546782747780085,0.04065734452626933,1.0,16.039177107992536,0.05185236222717911,1.1484538725703626
0.08503873809323037,4.665075391589848e-16,5.838815071642403e-15,2.658629766207894e-07,3.0138050866151495e-06,0.005343708950924037,0.08691907445904486,1.0,16.026105931962263,0.05048158976096553,1.1465865617088948
0.08675724604687629,9.317875242744923e-16,1.55961960235687e-14,3.884109873283762e-07,6.855287968788759e-06,7.705166493777798e-05,0.0030482240676521924,1.0,16.012920861098884,0.0490994867777702,1.1447029801569835
0.08849129716962478,1e-18,9.515957898227977e-16,2.527642891399116e-07,4.404036989092386e-06,0.0016643651817103747,0.023272241864089886,1.0,15.999622555586495,0.047706138862177144,1.1428032222266422
0.0902408262391402,9.293025301979239e-16,1.2359684821664661e-14,7.817923269426526e-07,1.2123861253279547e-05,0.003897806264974811,0.055286041557612756,1.0,15.986211680802315,0.08448607184384994,1.0
0.0920057674509196,5.80028277331618e-16,1.0567493806575734e-14,1.0556573855561942e-06,1.6281684520826905e-05,0.0015419889525614102,0.018775025922189683,1.0,15.97268890726928,0.08572470322074095,1.0
0.09378605442076793,1e-18,2.3725553126271003e-16,3.5107050667696684e-08,1.7289832015793591e-06,0.0008671582465351915,0.012364294580701955,1.0,15.959054910608618,0.08697294624058698,1.0
0.09558162018729466,5.784384247567366e-16,7.466682458069719e-15,4.753110387576961e-07,7.394261762920877e-06,0.0013180441422484936,0.015397063464915995,1.0,15.945310371491823,0.08823072403307454,1.0
0.09739239721443271,5.776344740616428e-16,9.354303221479156e-15,3.404565711643998e-07,5.7587735696831795e-06,0.001450626292707661,0.024350373325550127,1.0,15.93145597559236,0.08949795925087158,1.0
0.0992183173939783,2.307298291277756e-16,3.667243214018471e-15,4.550757147082908e-07,6.686377327133419e-06,0.00502731013702369,0.07390009430467472,1.0,15.917492413537284,0.15571924735747447,2.4651108620438404
0.10105931204815305,1e-18,1e-18,5.87647739849604e-07,8.836636585247562e-06,0.0039011851561987147,0.06125916546352858,1.0,15.903420380858089,0.15691331236007866,2.4637287874057052
0.10291531193218678,3.45112270574999e-16,6.494076957034027e-15,7.56112549879476e-08,1.1118208331239965e-06,0.0032983198143795465,0.040341915874860655,1.590412488604252,20.27034368277365,0.15811594120361805,2.462336128190689
