M,precision,method,rel_error,tau_min
384,fp32,GJ-II,0.43403437111261833,4.17783440215258e-06
384,fp16,GJ-I,0.003605308167411516,4.17783440215258e-06
384,fp16,GJ-II,1000000.0,4.17783440215258e-06
384,fp8-e5m2,GJ-I,1000000.0,4.17783440215258e-06
384,fp8-e5m2,GJ-II,1000000.0,4.17783440215258e-06
384,fp8-e4m3,GJ-I,1000000.0,4.17783440215258e-06
384,fp8-e4m3,GJ-II,1000000.0,4.17783440215258e-06
512,fp64,GJ-I,2.0454856042063058e-12,2.3507983912818275e-06
512,fp64,GJ-II,9.792053930488068e-11,2.3507983912818275e-06
512,fp32,GJ-I,5.830463386887911e-07,2.3507983912818275e-06
512,fp32,GJ-II,1.2189413800563678,2.3507983912818275e-06
512,fp16,GJ-I,0.004875156944856289,2.3507983912818275e-06
512,fp16,GJ-II,1000000.0,2.3507983912818275e-06
512,fp8-e5m2,GJ-I,1000000.0,2.3507983912818275e-06
512,fp8-e5m2,GJ-II,1000000.0,2.3507983912818275e-06
512,fp8-e4m3,GJ-I,1000000.0,2.3507983912818275e-06
512,fp8-e4m3,GJ-II,1000000.0,2.3507983912818275e-06
768,fp64,GJ-I,1.9911667937025052e-12,1.0451398990696248e-06
768,fp64,GJ-II,1.3064640291139423e-08,1.0451398990696248e-06
768,fp32,GJ-I,1.5786136545052183e-05,1.0451398990696248e-06
768,fp32,GJ-II,11.14786965987141,1.0451398990696248e-06
768,fp16,GJ-I,0.004471089515408262,1.0451398990696248e-06
768,fp16,GJ-II,1000000.0,1.0451398990696248e-06
768,fp8-e5m2,GJ-I,1000000.0,1.0451398990696248e-06
768,fp8-e5m2,GJ-II,1000000.0,1.0451398990696248e-06
768,fp8-e4m3,GJ-I,1000000.0,1.0451398990696248e-06
768,fp8-e4m3,GJ-II,1000000.0,1.0451398990696248e-06
1024,fp64,GJ-I,3.1630412037050824e-13,5.879869759972678e-07
1024,fp64,GJ-II,8.750442303170849e-09,5.879869759972678e-07
1024,fp32,GJ-I,3.860496348333174e-05,5.879869759972678e-07
1024,fp32,GJ-II,64.82058800761554,5.879869759972678e-07
1024,fp16,GJ-I,0.004584747724456699,5.879869759972678e-07
1024,fp16,GJ-II,1000000.0,5.879869759972678e-07
1024,fp8-e5m2,GJ-I,1000000.0,5.879869759972678e-07
1024,fp8-e5m2,GJ-II,1000000.0,5.879869759972678e-07
1024,fp8-e4m3,GJ-I,1000000.0,5.879869759972678e-07
1024,fp8-e4m3,GJ-II,1000000.0,5.879869759972678e-07
