alpha,type,delta,D_true,D_stable,D_raw32,rel_stable,rel_raw32,rel_gap32
1.25,I,1e-06,0.6929730337600181,0.6929714935192698,0.6929718211805268,2.222656111045934e-06,1.7498220452845116e-06,4.728340657614222e-07
1.25,I,1.2115276586285875e-06,0.6929730337600181,0.6929712314795886,0.6929715399255724,2.6007944633481556e-06,2.1556891436205724e-06,4.451053197275834e-07
1.25,I,1.4677992676220705e-06,0.6929730337600181,0.6929710151909392,0.6929713077766294,2.9129114417844584e-06,2.4906934390956137e-06,4.2221800268884434e-07
1.25,I,1.778279410038923e-06,0.6929730337600181,0.6929708366653826,0.6929711161598664,3.1705341022094893e-06,2.76720746442871e-06,4.0332663778077944e-07
1.25,I,2.1544346900318822e-06,0.6929730337600181,0.6929703997675395,0.6929706584957338,3.8010028532879457e-06,3.427643167255799e-06,3.7335968603214673e-07
1.25,I,2.6101572156825386e-06,0.6929730337600181,0.6929699108229128,0.6929701479957643,4.506578110700769e-06,4.164324025888086e-06,3.422540848126819e-07
1.25,I,3.162277660168379e-06,0.6929730337600181,0.6929695072459716,0.6929697266270802,5.088962881157728e-06,4.772383306015687e-06,3.165795751420405e-07
1.25,I,3.831186849557285e-06,0.6929730337600181,0.6929690093977117,0.6929692141212892,5.807386594197738e-06,5.511958680612044e-06,2.9542791358569426e-07
1.25,I,4.641588833612782e-06,0.6929730337600181,0.692968271999535,0.692968464681102,6.8714946340591805e-06,6.593444035353334e-06,2.7805059870584693e-07
1.25,I,5.623413251903491e-06,0.6929730337600181,0.6929676633479941,0.6929678460898134,7.749813863370116e-06,7.486106892909996e-06,2.6370697046011983e-07
1.25,I,6.8129206905796085e-06,0.6929730337600181,0.6929667201893236,0.6929668907258828,9.110846146804222e-06,8.864752069691014e-06,2.460940771132094e-07
1.25,I,8.25404185268019e-06,0.6929730337600181,0.6929658275649493,0.6929659869911656,1.0398954530273756e-05,1.0168893317827234e-05,2.3006121244652352e-07
1.25,I,1e-05,0.6929730337600181,0.6929646271979443,0.6929647748514212,1.2131153254520454e-05,1.1918080783159698e-05,2.1307247136075756e-07
1.25,I,1.2115276586285876e-05,0.6929730337600181,0.6929634627832095,0.6929636000097292,1.3811470782067617e-05,1.3613445010475225e-05,1.9802577159239255e-07
1.25,I,1.4677992676220675e-05,0.6929730337600181,0.6929618626578178,0.6929619943993146,1.6120543882734864e-05,1.5930433315072668e-05,1.9011056766219815e-07
1.25,I,1.778279410038923e-05,0.6929730337600181,0.6929601191189062,0.6929602452116915,1.863657095253326e-05,1.8454611800905106e-05,1.8195915162815417e-07
1.25,I,2.1544346900318823e-05,0.6929730337600181,0.6929581585133625,0.692958278205599,2.146583767458119e-05,2.129311488361481e-05,1.727227909663816e-07
1.25,I,2.6101572156825332e-05,0.6929730337600181,0.6929558901212237,0.6929560022181126,2.4739258180549878e-05,2.457749591359104e-05,1.6176226695883608e-07
1.25,I,3.1622776601683795e-05,0.6929730337600181,0.6929532379859267,0.6929533430206903,2.8566442165838514e-05,2.84148709523174e-05,1.5157121352111328e-07
1.25,I,3.831186849557285e-05,0.6929730337600181,0.6929501440334781,0.6929502423155208,3.303119374756526e-05,3.28893670992855e-05,1.4182664827975747e-07
1.25,I,4.641588833612772e-05,0.6929730337600181,0.6929465687134693,0.6929466609960869,3.819058644345595e-05,3.805741731109034e-05,1.3316913236561557e-07
1.25,I,5.623413251903491e-05,0.6929730337600181,0.6929424899998345,0.6929425763241227,4.407640513483353e-05,4.395183421510561e-05,1.245709197279191e-07
1.25,I,6.812920690579608e-05,0.6929730337600181,0.692937797655054,0.6929378784275706,5.0847728912109514e-05,5.0731169518555815e-05,1.1655939355369445e-07
1.25,I,8.254041852680174e-05,0.6929730337600181,0.6929323142478199,0.6929323905724863,5.876060137182282e-05,5.865046048212361e-05,1.1014088969921274e-07
1.25,I,0.0001,0.6929730337600181,0.692925995461606,0.6929260685917924,6.787897381344033e-05,6.77734427425497e-05,1.0553107089062874e-07
1.25,I,0.00012115276586285876,0.6929730337600181,0.6929187231017065,0.6929187931939172,7.837340800526226e-05,7.827226090820728e-05,1.0114709705496706e-07
1.25,I,0.0001467799267622069,0.6929730337600181,0.6929103185089127,0.6929103853910775,9.05017194753764e-05,9.040520465943394e-05,9.651481594246049e-08
1.25,I,0.00017782794100389227,0.6929730337600181,0.6929006514779946,0.6929007152788949,0.0001044518018698382,0.00010435973349614775,9.206837369044085e-08
1.25,I,0.00021544346900318823,0.6929730337600181,0.6928894131919681,0.6928894739951088,0.00012066929588339631,0.00012058155344930099,8.774243409532427e-08
1.25,I,0.0002610157215682536,0.6929730337600181,0.6928764900299669,0.6928765476966566,0.00013931816296999588,0.00013923494661532214,8.321635467373524e-08
1.25,I,0.00031622776601683794,0.6929730337600181,0.6928615348832861,0.6928615893262828,0.00016089930098293103,0.00016082073660289727,7.856438003377748e-08
1.25,I,0.00038311868495572853,0.6929730337600181,0.692844289473686,0.6928443409955699,0.00018578542029762843,0.00018571107125176325,7.434904586519168e-08
1.25,I,0.00046415888336127773,0.6929730337600181,0.6928243442733819,0.6928243928893509,0.00021456749309475693,0.00021449733745137716,7.015564337978587e-08
1.25,I,0.0005623413251903491,0.6929730337600181,0.6928013367931716,0.6928013825780852,0.0002477686121707742,0.00024770254190337903,6.607026739515806e-08
1.25,I,0.0006812920690579609,0.6929730337600181,0.6927747665283622,0.6927748093835501,0.000286111034624324,0.00028604919211999117,6.184250433286236e-08
1.25,I,0.0008254041852680181,0.6929730337600181,0.692744069994376,0.692744110147923,0.00033040790115559986,0.0003303499572745443,5.794388105555588e-08
1.25,I,0.001,0.6929730337600181,0.6927086270275326,0.6927086645343195,0.00038155414367404894,0.0003815000192203238,5.412445372513611e-08
1.25,I,0.0012115276586285877,0.6929730337600181,0.6926676986418391,0.6926677334124651,0.0004406161615297778,0.00044056598551375537,5.017601602244707e-08
1.25,I,0.0014677992676220691,0.6929730337600181,0.692620394533228,0.6926204268867526,0.0005088787147700128,0.0005088320267705366,4.6687999476118574e-08
1.25,I,0.0017782794100389228,0.6929730337600181,0.6925658212087084,0.6925658513324039,0.0005876311652420389,0.0005875876950143815,4.34702276574317e-08
1.25,I,0.002154434690031882,0.6929730337600181,0.6925027501644123,0.6925027783048141,0.0006786463147837439,0.000678605706563199,4.0608220544846683e-08
1.25,I,0.0026101572156825357,0.6929730337600181,0.6924299133945311,0.6924299396520305,0.0007837539688089348,0.0007837160777249851,3.7891083949582526e-08
1.25,I,0.0031622776601683794,0.6929730337600181,0.6923457541787643,0.6923457787046412,0.0009052005643714265,0.0009051651721184959,3.539225293064507e-08
1.25,I,0.003831186849557285,0.6929730337600181,0.69224855061732,0.692248573518293,0.0010454709020451035,0.0010454378546220565,3.304742304700549e-08
1.25,I,0.004641588833612777,0.6929730337600181,0.6921362736152189,0.6921362949569223,0.0012074930827523963,0.0012074622854451927,3.07973072035876e-08
1.25,I,0.005623413251903491,0.6929730337600181,0.6920065717892674,0.6920065916005608,0.0013946602878711285,0.0013946316990337303,2.8588837398305898e-08
1.25,I,0.006812920690579608,0.6929730337600181,0.6918567117802369,0.691856730099018,0.001610916912198011,0.0016108904771417155,2.6435056295421252e-08
1.25,I,0.008254041852680182,0.6929730337600181,0.6916835490835846,0.6916835660158692,0.0018608006568982527,0.0018607762226363846,2.4434261868129785e-08
1.25,I,0.01,0.6929730337600181,0.6914834175012791,0.6914834332357545,0.0021496020568887927,0.0021495793511345676,2.2705754225238646e-08
1.25,I,0.012115276586285877,0.6929730337600181,0.6912521227876937,0.691252137494293,0.0024833736501792543,0.0024833524277093075,2.122246994654934e-08
1.25,I,0.014677992676220676,0.6929730337600181,0.690984690480149,0.6909847041682574,0.0028692938729238554,0.0028692741201950226,1.9752728833087027e-08
1.25,I,0.01778279410038923,0.6929730337600181,0.6906754766997402,0.690675489339023,0.0033155071674456547,0.003315488928232544,1.8239213110478322e-08
