alpha,tau_min,denom_amp,stable_GJII,fp64_GJII,fp32_GJII,fp16_GJII,fp8e5m2_GJII,fp64_q2local,fp32_q2local
1.25,9.987635159713903e-05,44554558.324843965,9.61269461180478e-16,9.8530119770999e-14,0.0005300312693468096,inf,inf,5.277185504271943e-11,2.930755698763401
1.5,6.137611770246076e-05,117982787.8058548,2.3531614658686292e-15,6.891860862520512e-11,0.032124529263658115,inf,inf,2.1875906868794577e-08,9.983054897321589
1.75,2.794073513379125e-05,569300840.5760063,1.1200592841272369e-13,1.053147120934293e-08,2.333642284422361,inf,inf,2.0255609462653585e-07,44.89882654056948
1.9,1.0481583793187088e-05,4045420405.3382764,2.1644667964118203e-12,2.5571399622141345e-07,68.0897368382064,inf,inf,8.70295856172805e-07,231.73535827493274
1.95,5.121413758746307e-06,16944850991.824368,2.4677382414469047e-12,2.5254337672218355e-07,39.6221133385365,inf,inf,4.705119476582929e-07,73.79794939429222
1.98,2.019528148489158e-06,108972687150.21033,1.1984374609380112e-11,2.9336950878369243e-05,4082.230843488384,inf,inf,3.77314379500885e-05,5250.320734973995
1.99,1.0048907200799206e-06,440128823193.539,1.1873478163370592e-11,8.750194279893337e-05,29577.442206927597,inf,inf,9.92834280839551e-05,33559.829319036915
