alpha,a,rho_star,expected_exp_slope,M,type,weighted_integral_error,derivative_error
1.5,0.05,1.4378509575220022,-0.7262992165082307,12,Type-II,0.00022122794428480752,0.00011464944067495736
1.5,0.05,1.4378509575220022,-0.7262992165082307,13,Type-I,0.01593177001954693,0.005504333332476289
1.5,0.05,1.4378509575220022,-0.7262992165082307,13,Type-II,0.00010751332319602902,5.571783623167328e-05
1.5,0.05,1.4378509575220022,-0.7262992165082307,14,Type-I,0.008322131715102543,0.0028752478186977798
1.5,0.05,1.4378509575220022,-0.7262992165082307,14,Type-II,5.221188113990749e-05,2.70583492000962e-05
1.5,0.05,1.4378509575220022,-0.7262992165082307,15,Type-I,0.004322913395366612,0.0014935412867704307
1.5,0.05,1.4378509575220022,-0.7262992165082307,15,Type-II,2.534136533483e-05,1.3132940194199215e-05
1.5,0.05,1.4378509575220022,-0.7262992165082307,16,Type-I,0.0022347343790922736,0.0007720876535988381
1.5,0.05,1.4378509575220022,-0.7262992165082307,16,Type-II,1.2294035209858833e-05,6.371275857601244e-06
1.5,0.05,1.4378509575220022,-0.7262992165082307,17,Type-I,0.001150409228728222,0.0003974596580234321
1.5,0.05,1.4378509575220022,-0.7262992165082307,17,Type-II,5.962109543622418e-06,3.0898109487431392e-06
1.5,0.05,1.4378509575220022,-0.7262992165082307,18,Type-I,0.0005900321595682101,0.00020385265913075405
1.5,0.05,1.4378509575220022,-0.7262992165082307,18,Type-II,2.890511918929306e-06,1.4979824354508577e-06
1.5,0.05,1.4378509575220022,-0.7262992165082307,19,Type-I,0.00030163211214961905,0.00010421213004037511
1.5,0.05,1.4378509575220022,-0.7262992165082307,19,Type-II,1.4010082740600893e-06,7.260602430730414e-07
1.5,0.05,1.4378509575220022,-0.7262992165082307,20,Type-I,0.00015374820520897003,5.311910539141745e-05
1.5,0.05,1.4378509575220022,-0.7262992165082307,20,Type-II,6.789142306118379e-07,3.518413420038346e-07
1.5,0.05,1.4378509575220022,-0.7262992165082307,21,Type-I,7.816308438535202e-05,2.7004888359773423e-05
