alpha,a,rho_star,type,expected_exp_slope,n_fit,linear_slope,linear_intercept,exp_slope_with_logM,logM_power,intercept_with_logM,exp_slope_ratio
1.5,0.05,1.4378509575220022,Type-I,-0.7262992165082307,25,-0.6733168632523129,3.549674883909334,-0.7284981281969147,1.0690574332410585,1.524834222315859,1.0030275561899344
1.5,0.05,1.4378509575220022,Type-II,-0.7262992165082307,31,-0.7217407327202362,-0.44072164396083974,-0.7318373770106901,0.14734351378815003,-0.6599527981066226,1.0076251775805083
1.5,0.1,1.6666666666666665,Type-I,-1.0216512475319812,27,-0.956040054608526,2.8094111262034946,-1.0202723125289375,1.0033590168027962,1.1816729658881784,0.9986502879467187
1.5,0.1,1.6666666666666665,Type-II,-1.0216512475319812,25,-1.0159964937446675,-0.5891987178594256,-1.0289050362071912,0.1428807540209572,-0.7586038489928507,1.0071000634440892
1.5,0.2,2.0441269193127067,Type-I,-1.4299415280218901,19,-1.33246020336966,1.842668447807835,-1.432220344253209,1.0171056413381092,0.647611645214486,1.0015936429473948
1.5,0.2,2.0441269193127067,Type-II,-1.4299415280218901,17,-1.4227671232493435,-0.8312056745391042,-1.4387257507552378,0.1307749465808975,-0.9515965996489018,1.0061430642870406
