alpha,exact,cutoff_mass_mc2,MC-I,MC-II,GJ-I,GJ-II,MC-I_rel_err,MC-II_rel_err,GJ-I_rel_err,GJ-II_rel_err
1.01,0.7743734554699454,7.86447350279811e-08,0.7743829482561541,0.774376316395551,0.7743734554699456,0.774373455469944,1.2258666850728588e-05,3.6945037119136423e-06,2.8674098183063197e-16,1.863816381899108e-15
1.0198989898989899,0.7718318212626984,9.26201987133973e-08,0.7718387209436052,0.7718339343449923,0.7718318212626982,0.7718318212627064,8.9393579231248e-06,2.7377496438948783e-06,2.876852169191102e-16,1.0356667809087968e-14
1.0297979797979797,0.7692199919992068,1.090791545887598e-07,0.7692444182280159,0.7692262671713744,0.7692199919992069,0.7692199919992234,3.1754542345780984e-05,8.157838112553258e-06,1.4433101533667645e-16,2.164965230050147e-14
1.0396969696969698,0.7665378941603778,1.284629285088928e-07,0.7665267363179948,0.7665337176976909,0.7665378941603777,0.7665378941603757,1.4556152367583502e-05,5.448475174845527e-06,1.4483602612252223e-16,2.7518844963279223e-15
1.0495959595959596,0.7637854674792535,1.512912715843636e-07,0.7637204483537859,0.7637652846638965,0.7637854674792536,0.7637854674792662,8.512747130697515e-05,2.642471769408479e-05,1.4535796658834876e-16,1.6716166157660106e-14
1.0594949494949495,0.7609626651173396,1.7817629664288073e-07,0.7610354518105726,0.7609851889413354,0.7609626651173398,0.7609626651173483,9.565080728612328e-05,2.9599118364551293e-05,2.9179434826909975e-16,1.152587675662944e-14
1.0693939393939393,0.7580694538396524,2.098388912520249e-07,0.7580059770649342,0.7580496919704331,0.7580694538396526,0.7580694538396261,8.373477442821739e-05,2.6068678957006497e-05,2.929079964907785e-16,3.470959758415726e-14
1.0792929292929294,0.7551058141884095,2.471280473975361e-07,0.7552424624356864,0.7551489784554158,0.7551058141884098,0.7551058141883635,0.0001809656934290099,5.7163203083979715e-05,4.4108640289775613e-16,6.086992359989034e-14
1.0891919191919193,0.7520717406552873,2.910436261177553e-07,0.7520828653215617,0.7520753873235351,0.7520717406552877,0.7520717406553185,1.479202803804991e-05,4.848830305253667e-06,5.904878296093448e-16,4.148177003005647e-14
1.0990909090909091,0.7489672418521579,3.4276316749879455e-07,0.7490836147908728,0.7490021325791014,0.7489672418521574,0.7489672418521791,0.0001553778753088459,4.658511747086833e-05,7.411692812356062e-16,2.8312666543200154e-14
1.108989898989899,0.7457923406802411,4.036734649061581e-07,0.7458109861820527,0.7457998707669344,0.7457923406802407,0.7457923406802118,2.5000929607984338e-05,1.0096760562637034e-05,5.954596013214704e-16,3.9300333687217046e-14
1.1188888888888888,0.7425470744975741,4.754077500754697e-07,0.7424829488348837,0.7425273225262728,0.7425470744975744,0.7425470744974446,8.635905371212529e-05,2.6600295091840604e-05,4.48546521596504e-16,1.743350813938412e-13
1.128787878787879,0.7392314952847322,5.598894861329618e-07,0.7392244020286818,0.7392289515355932,0.7392314952847315,0.7392314952849204,9.595446210911957e-06,3.4410724586549083e-06,9.011166583459988e-16,2.545654559827447e-13
1.1386868686868687,0.7358456698087061,6.593839427995599e-07,0.7357993682654345,0.7358296632408257,0.735845669808707,0.7358456698086842,6.29228996940527e-05,2.1752615442636033e-05,1.2070172539454099e-15,2.9873677035148894e-14
1.1485858585858586,0.7323896797848612,7.765589367017342e-07,0.7320650587219701,0.7322791269481203,0.7323896797848602,0.7323896797848913,0.0004432354412564405,0.0001509481083532889,1.3643020235568517e-15,4.1080649820434094e-14
1.1584848484848485,0.7288636220368914,9.145563654628481e-07,0.7289300742404181,0.7288864896552807,0.7288636220368924,0.728863622037376,9.117234214685798e-05,3.1374344524721355e-05,1.3709021714792983e-15,6.648875531674597e-13
1.1683838383838383,0.7252676086546843,1.0770764536702121e-06,0.725499431960385,0.7253478736006427,0.7252676086546865,0.7252676086549598,0.0003196383003105864,0.00011066942050155675,3.061554139125377e-15,3.7978579095850306e-13
1.1782828282828284,0.7216017671500095,1.2684769696657162e-06,0.7219114882265206,0.7217097205175275,0.7216017671500096,0.7216017671504232,0.0004292133010350365,0.0001496024156708699,1.5385536388166285e-16,5.734189411869574e-13
1.1881818181818182,0.7178662406099471,1.4938900735313813e-06,0.7178632397604672,0.7178658093920319,0.7178662406099467,0.7178662406099737,4.180234854555028e-06,6.006939604611219e-07,4.63967921244703e-16,3.7117433699576245e-14
1.198080808080808,0.7140611878479678,1.759359929399208e-06,0.7140671431682354,0.7140649422979518,0.7140611878479678,0.7140611878482069,8.340069967309463e-06,5.257882724773356e-06,0.0,3.3490412806916897e-13
1.207979797979798,0.7101867835525796,2.0720047719833543e-06,0.7105726625521824,0.7103178657422521,0.71018678355258,0.7101867835522465,0.000543348607070047,0.0001845742454073699,6.253132558009423e-16,4.689849418507067e-13
1.2178787878787878,0.7062432184334464,2.44020777294152e-06,0.7066038588257338,0.7063688773190124,0.7062432184334478,0.7062432184343649,0.0005106461667517354,0.00017792579423950885,2.043615987158273e-15,1.3005257739815687e-12
1.2277777777777779,0.7022306993648972,2.8738418249029367e-06,0.7020102455083682,0.7021500650892689,0.7022306993648957,0.7022306993657002,0.000313933664148269,0.00011482590507827138,2.2133926014356123e-15,1.1433753781130248e-12
1.2376767676767677,0.6981494495267324,3.3845342704591647e-06,0.6983013372346736,0.6982053820410805,0.6981494495267317,0.6981494495264549,0.00021755758461763496,8.011538845445834e-05,9.541421471099899e-16,3.9755922796249575e-13
