M_gj,GJ-I_smooth_exponential_rel_err,GJ-I_endpoint_power_t1.35_rel_err,GJ-I_interior_kink_t-t_c_plus1.35_rel_err,GJ-II_smooth_exponential_rel_err,GJ-II_endpoint_power_t1.35_rel_err,GJ-II_interior_kink_t-t_c_plus1.35_rel_err
10,1.9609678882238576e-16,6.956218829544305e-05,0.009548280802531992,1.4040530079682822e-13,4.818053246627783e-07,0.00029488585235096085
20,4.314129354092487e-15,1.1105101597858994e-05,0.0010454109383820317,6.804558572136786e-13,1.9977711430240826e-08,0.0001629453426673012
40,1.6079936683435633e-14,1.7394089306465936e-06,0.0007133679812548065,8.843965175889599e-14,7.940298685841746e-10,1.693261109962043e-05
80,3.0591099056292183e-14,2.7000358043077695e-07,0.00048022136736951336,5.090476541040312e-11,2.198158861374282e-10,1.9863054311605064e-07
160,5.4122713714978475e-14,4.1729419725936955e-08,1.0546804682470476e-05,1.9972399112523343e-10,1.6439146721784092e-09,1.3237557092541576e-06
320,5.765245591378141e-14,6.435569669329755e-09,5.580414106247963e-05,3.393966939287001e-09,3.3249447191206092e-09,9.391752148374978e-08
640,2.946158155267524e-12,9.900589224587474e-10,3.202409930324471e-05,9.621612092353738e-09,7.261104478482776e-08,4.917017683303992e-08
1280,5.114596446065466e-12,1.5560658237119507e-10,1.22990104986741e-05,8.664423230953818e-08,2.8842839850230295e-08,1.465752422744201e-07
